"AppID","Name","Achievements"
"2581810","Color Splash: Birds","99"
"2088840","Picayune Dreams","99"
"2713940","OG Memory: Kira Maus","99"
"1487440","Live Labyrinth","98"
"1812820","Bitburner","98"
"1535490","Eggcelerate!","98"
"1462220","Mini War - Three Kingdoms","98"
"813630","Supraland","98"
"388520","Call of Duty®: Black Ops III","98"
"348030","Trackday Manager","98"
"1569040","Football Manager 2022","98"
"434650","Lost Castle / 失落城堡","98"
"614450","Bellatia","98"
"1133420","Hero or Villain: Genesis","98"
"412520","Evil Defenders","98"
"366842","Call of Duty®: Black Ops III","98"
"2067850","Drakensang Online","98"
"2166710","Fabric Of Reality","98"
"2129030","Boulette Hell","98"
"2361940","Ninja Golf 2","98"
"884220","VR Cops","98"
"2444600","Times Of War","98"
"814420","TetraLogical","97"
"35720","Trine 2: Complete Story","97"
"313390","Vertical Strike Endless Challenge","97"
"1140730","Pixel Sentry","97"
"435440","Galaxy Control: 3D Strategy","97"
"1965860","Let's Play Jigsaw Puzzles","97"
"2248250","I Heard There Are Monsters Here","97"
"2159670","maboroshi caravan","97"
"2352600","Weak Soul","97"
"1681600","Cornucopia","97"
"2512430","Void Survivors","97"
"2263980","Memories: Millennium Girl","97"
"1989270","Slay the Princess","97"
"586970","Hungry Flame","96"
"348800","Chester One","96"
"1406150","Delta Light","96"
"819090","Pixel Caveman","96"
"1071330","Dark Fantasy 2: Jigsaw Puzzle","96"
"1679220","Portal Dungeon","96"
"382890","FINAL FANTASY V (Old ver.)","96"
"2304490","Project: Sword Art","96"
"2443370","Witchcraft Survivors","96"
"2707140","Fritz 19 SE","96"
"1724910","幻想曹操传 Fantasy of Caocao","95"
"1135480","Protect Your Fool","95"
"898380","Color Party","95"
"285130","Battleplan: American Civil War","95"
"1174690","love wish 2","95"
"1487390","ANVIL","95"
"1177970","World of Talesworth: Idle MMO Simulator","95"
"1266340","Arcane Waters","95"
"2000460","Seven Spirits","95"
"2011900","Zero Wing","95"
"2236590","Psionic Awake","95"
"2409840","Hidden Bunny","95"
"1829370","Death Horizon: Reloaded","95"
"2242710","Koi x Shin Ai Kanojo","95"
"1913420","Fantasy of Caocao 2","95"
"2430830","Strongblade - Puzzle Quest and Match-3 Adventure","95"
"1105130","Arcadius","94"
"1258080","Shop Titans","94"
"682780","Breaking Good","94"
"834280","Fishing Sim World®: Pro Tour","94"
"1831550","Aim God","94"
"1709730","Beyond The Edge Of Owlsgard","94"
"1878910","WooLoop","94"
"1343810","Fallen Hero: Retribution","94"
"1705140","Final Profit: A Shop RPG","94"
"1543280","Espresso Tycoon","94"
"342150","Games of Glory","94"
"965460","Jungle Guardians","94"
"559650","Witch It","93"
"812140","Assassin's Creed® Odyssey","93"
"209690","Fieldrunners","93"
"1338580","McPixel 3","93"
"1975530","Choice of the Viking","93"
"404770","SUPERFIGHT","93"
"1260320","Party Animals","93"
"2342750","Shadows of Duat","93"
"2342950","God Of Weapons","93"
"2474850","Wisdom Watcher","93"
"1682030","Dire Vengeance","92"
"1244930","Mask of the Plague Doctor","92"
"1554400","Paint Chips","92"
"233130","Shadow Warrior","92"
"918070","JQ: Beautiful Japan","92"
"759740","RIDE 3","92"
"1457920","VITATIO 3","92"
"2241910","Sweets Pusher Friends","92"
"2146180","Cyclo Chambers","92"
"1948980","Hero's Adventure","92"
"2144290","Idle Gem Quest","92"
"2151920","Folletti","92"
"2392520","Power & Revolution 2023 Edition","92"
"2422090","Treasure Chest Clicker","92"
"575550","Hell Girls","92"
"666140","My Time At Portia","91"
"932810","BattleCry: World At War","91"
"1367760","AOD: Art Of Defense","91"
"2114430","ACHIEVEMENTS CITY","91"
